core,time,size,bandwidth
6,0.022717,4,0.171952
8,0.024328,4,0.160563
2,0.027269,4,0.143251
4,0.029326,4,0.133201
0,0.033454,4,0.116766
2,0.012620,8,0.619057
4,0.016125,8,0.484483
6,0.023870,8,0.327288
8,0.025888,8,0.301782
2,0.015047,16,1.038423
4,0.018268,16,0.855339
0,0.027611,8,0.282954
6,0.026241,16,0.595443
8,0.028993,16,0.538927
2,0.023105,32,1.352532
4,0.026361,32,1.185481
0,0.038539,16,0.405438
6,0.036698,32,0.851548
8,0.038602,32,0.809540
2,0.057083,64,1.094905
0,0.043206,32,0.723284
4,0.061824,64,1.010935
2,0.060417,128,2.068965
6,0.094234,64,0.663243
4,0.076606,128,1.631724
8,0.146447,64,0.426775
2,0.105013,256,2.380651
6,0.115130,128,1.085728
0,0.200663,64,0.311467
2,0.160860,512,3.108287
6,0.175926,256,1.421049
2,0.261517,1024,3.823848
6,0.277289,512,1.803173
0,0.470294,128,0.265791
8,0.953626,128,0.131079
4,1.354662,256,0.184548
0,0.910920,256,0.274448
4,0.160234,512,3.120433
4,0.274685,1024,3.640530
8,0.894303,256,0.279547
6,1.498248,1024,0.667446
2,1.724172,2048,1.159977
0,1.298255,512,0.385132
8,1.670653,512,0.299284
4,1.824258,2048,1.096336
6,1.931359,2048,1.035540
2,2.239026,4096,1.786491
8,2.023165,1024,0.494275
0,2.913967,1024,0.343175
4,2.315326,4096,1.727619
6,3.799383,4096,1.052803
8,3.507755,2048,0.570165
0,4.335115,2048,0.461349
8,2.894526,4096,1.381919
0,8.033321,4096,0.497926